whaleName,AvgFreq
bb180304-42,0.3401
bb190224-52,0.337204666666667
bb190225-54,0.394390357142857
bb190225-55,0.379217647058824
bb190228-55b,0.365774545454546
bb190302-48,0.42557
bb190302-52,0.418402631578947
bb190302-53,0.404844117647059
bb190304-18,0.479078823529412
bb190309-52,0.407105714285714
bp180828-44,0.284815714285714
bw170813-44,0.195757142857143
bw170814-31,0.219120833333333
bw170814-40,0.20243275862069
bw170814-50,0.209054230769231
bw170814-51,0.233938275862069
bw170815-28,0.208042857142857
bw170815-43,0.229649333333333
bw170816-27,0.202605517241379
bw170816-51,0.191245333333333
bw180827-52,0.179669
bw180828-49,0.185982
bw180829-30,0.225555333333333
bw180829-47,0.201260714285714
bw180830-40,0.195973448275862
bw180830-42,0.219565862068966
bw180830-46,0.236813571428571
bw180830-49,0.209429411764706
bw180830-52b,0.222224814814815
bw180904-44,0.2050892
bw180905-42,0.238200384615385
bw180905-49,0.202933888888889
bw180905-53,0.220858461538462
mn170703-40,0.290366296296296
mn180227-44,0.272932173913043
mn180302-47,0.2573265
mn190225-40,0.241655882352941
mn190228-42,0.301437391304348
mn190228-44,0.245581428571429
mn190305-44,0.276086666666667
mn190306-42,0.234534117647059
mn190309-44b,0.273687333333333
