LungeI,timeoflunge,depth,PosFluSt,PosMaxSpd,PosBegDecel,PosEndDecel,PosMinSpd,PosDownStr,PosMaxGape,PosGyroFin,LengthAcc,LengthAdj,LengthDecel,LengthGyro,SpdFluSt,MaxSpd,SpdBegDecel,SpdEndDecel,MinSpd,lungecat
758387,13:16:17,114.7347016,758314,758388,758395,758406,758412,758391,758399,758406,7.4,0.7,1.1,1.5,2.365925193,5.19463818,4.757525814,2.117118348,1.897849418,103
173692,21:01:47,31.00289429,173578,173695,173697,173710,173730,173689,173700,173705,11.7,0.2,1.3,1.6,2.536548156,5.415999029,5.381755356,2.300213261,2.095180555,103
675109,10:57:29,119.4673004,675046,675110,675110,675124,675146,675106,675118,675125,6.4,0,1.4,1.9,3.726189288,5.273177283,5.273177283,2.420764846,2.083432378,103
82603,18:29:58,70.73594683,82549,82606,82606,82619,82645,82602,82609,82617,5.7,0,1.3,1.5,2.994670514,5.390032995,5.390032995,2.361193928,2.162629892,103
612887,9:13:47,30.85595592,612833,612889,612889,612900,612928,612885,612893,612902,5.6,0,1.1,1.7,2.480411653,5.3441292,5.3441292,2.221370033,1.984392821,103
686225,11:16:01,116.8423564,686174,686223,686236,686247,686247,686228,686236,686242,4.9,1.3,1.1,1.4,3.819032267,5.238240877,3.782298543,2.208437923,2.208437923,103
54939,17:43:51,64.04869342,54870,54940,54942,54956,54982,54938,54944,54953,7,0.2,1.4,1.5,2.211834179,5.784399797,5.755005999,2.519003319,2.025702722,103
86770,18:36:54,78.21219333,86717,86773,86773,86785,86822,86770,86776,86783,5.6,0,1.2,1.3,2.312767109,5.696029139,5.696029139,2.548007331,2.007615248,103
87447,18:38:02,61.13927236,87406,87447,87447,87459,87474,87444,87450,87460,4.1,0,1.2,1.6,2.763639724,5.402760964,5.402760964,2.801761007,2.657807894,103
609206,9:07:39,74.97475599,609127,609203,609209,609220,609224,609199,609212,609218,7.6,0.6,1.1,1.9,2.281813326,5.681687613,4.964046106,2.096053273,1.980983596,103
160090,20:39:07,35.23315051,159976,160098,160098,160115,160115,160086,160103,160112,12.2,0,1.7,2.6,2.52898848,5.532509944,5.532509944,2.345776821,2.345776821,103
678109,11:02:29,84.48678314,678046,678106,678113,678124,678178,678109,678117,678125,6,0.7,1.1,1.6,2.713384488,5.193362443,5.070881942,2.713287773,2.105021105,103
672472,10:53:06,99.03891642,672398,672465,672473,672490,672508,672470,672480,672486,6.7,0.8,1.7,1.6,2.094373341,5.844320582,5.602740038,2.671018843,2.318074489,103
791321,14:11:11,109.0111852,791147,791320,791320,791335,791374,791320,791328,791334,17.3,0,1.5,1.4,2.133040555,5.467060255,5.467060255,2.748003427,2.186116098,103
758639,13:16:42,126.4322216,758556,758641,758647,758660,758705,758645,758652,758661,8.5,0.6,1.3,1.6,2.288897735,5.939410872,5.913088143,3.103450794,1.603909296,103
140900,20:07:08,28.74480346,140789,140901,140901,140916,140944,140893,140904,140912,11.2,0,1.5,1.9,2.23090338,5.190359773,5.190359773,2.136436792,2.034087757,103
745224,12:54:21,106.7829769,745139,745221,745227,745238,745252,745224,745231,745238,8.2,0.6,1.1,1.4,1.993910176,5.594573233,5.421045708,2.925292163,2.232029347,103
761835,13:22:02,133.7803105,761807,761838,761838,761853,761894,761836,761842,761851,3.1,0,1.5,1.5,2.607599808,5.834082015,5.834082015,2.749100235,1.953440143,103
97593,18:54:57,47.13723785,97502,97596,97596,97607,97622,97586,97598,97605,9.4,0,1.1,1.9,2.291458675,5.669431312,5.669431312,2.509059288,2.347945185,103
764683,13:26:47,133.7528246,764609,764680,764687,764697,764730,764680,764690,764698,7.1,0.7,1,1.8,1.952022323,5.723542823,5.40616263,2.631452027,2.061558898,103
84889,18:33:46,55.01414348,84829,84887,84897,84906,84923,84889,84897,84904,5.8,1,0.9,1.5,2.334992314,5.072693598,4.600169229,2.290329241,2.161946627,103
168481,20:53:06,51.1603366,168438,168481,168487,168500,168532,168482,168489,168494,4.3,0.6,1.3,1.2,2.184806851,5.692601263,5.512290224,2.481825682,1.881129555,103
