LungeI,timeoflunge,depth,PosFluSt,PosMaxSpd,PosBegDecel,PosEndDecel,PosMinSpd,PosDownStr,PosMaxGape,PosGyroFin,LengthAcc,LengthAdj,LengthDecel,LengthGyro,SpdFluSt,MaxSpd,SpdBegDecel,SpdEndDecel,MinSpd,lungecat
227000,22:20:41,49.86158293,226927,226998,227002,227027,227034,227000,227005,227029,7.1,0.4,2.5,2.9,2.019792353,3.167533794,3.157468427,1.221429822,1.156820995,103
273190,23:37:40,36.13242764,273049,273192,273192,273215,273219,273170,273193,273211,14.3,0,2.3,4.1,1.299604495,2.930415378,2.930415378,1.227232338,1.203541911,103
277710,23:45:12,28.79148129,277606,277706,277715,277738,277742,277697,277713,277736,10,0.9,2.3,3.9,1.863265491,3.318113874,3.205235307,1.18975978,1.153108974,103
347467,1:41:28,37.16260305,347355,347469,347469,347499,347500,347448,347461,347496,11.4,0,3,4.8,1.64456246,3.490281958,3.490281958,1.140589577,1.132574238,103
360167,2:02:38,32.94606127,360109,360170,360170,360201,360203,360154,360176,360204,6.1,0,3.1,5,1.392570809,3.29020256,3.29020256,1.321244788,1.303260329,103
323296,1:01:11,38.42343013,323148,323296,323296,323325,323327,323267,323287,323330,14.8,0,2.9,6.3,1.373389159,3.020902257,3.020902257,1.271681143,1.257477031,103
334673,1:20:09,31.35282854,334563,334676,334685,334704,334716,334664,334685,334708,11.3,0.9,1.9,4.4,1.4968248,2.906864997,2.808234581,1.242739087,1.220265006,103
228485,22:23:10,27.05094351,228383,228484,228497,228519,228528,228473,228493,228523,10.1,1.3,2.2,5,1.351178317,2.755261091,2.534905829,1.280842567,1.214959903,103
257219,23:11:03,32.79494273,257162,257216,257225,257251,257267,257211,257225,257252,5.4,0.9,2.6,4.1,1.454953675,2.686468832,2.564653519,1.190561982,1.169335145,103
354524,1:53:14,38.90795214,354394,354527,354527,354549,354562,354514,354530,354554,13.3,0,2.2,4,1.366689865,3.011321592,3.011321592,1.232651252,1.19169468,103
366421,2:13:03,35.64937249,366339,366417,366424,366448,366448,366403,366420,366447,7.8,0.7,2.4,4.4,1.595034777,2.771768328,2.728503605,1.310734878,1.310734878,103
342727,1:33:34,33.02215433,342617,342724,342732,342758,342758,342717,342738,342758,10.7,0.8,2.6,4.1,1.286613168,3.407447447,3.187779193,1.444666132,1.444666132,103
257592,23:11:40,36.65391865,257461,257592,257592,257627,257627,257592,257607,257632,13.1,0,3.5,4,1.327055718,4.165982597,4.165982597,1.183347439,1.183347439,103
356190,1:56:00,32.86805529,356063,356191,356191,356219,356227,356177,356196,356222,12.8,0,2.8,4.5,1.507912103,3.272617744,3.272617744,1.380180377,1.253609992,103
356566,1:56:38,35.63960588,356493,356564,356564,356595,356604,356553,356569,356594,7.1,0,3.1,4.1,1.423967264,3.569972152,3.569972152,1.34588975,1.292685126,103
