LungeI,timeoflunge,depth,lungecat,PosFluSt,PosSpdInc,PosMaxSpd,PosBegDecel,PosEndDecel,PosMinSpd,PosDownStr,PosMaxGape,PosGyroFin,LengthFlu,LengthAcc,LengthAdj,LengthDecel,LengthGyro,AccelDecelRatio,SpdFluSt,SpdAtInc,PitchAtInc,MaxSpd,MaxSpdPitch,SpdBegDecel,PitchBegDecel,SpdEndDecel,PitchEndDecel,MinSpd,AccelSpdGain,AccelPitchChng,DecelSpdLoss,DecelPitchChng,SlpAccel,SlpDecel,AccelDecelSlpRatio,RectApproxDist,SpeedIntegrDist,TotLength,whaleName,Species,Location,MaxDiam,ModelWaterEngulfClosing,ModelWaterEngulfOpening,ModelWaterEngulfFull,ModelWaterEngulfFullKg,LengthVGB,VposShirel,VantShirel,ModelWaterEngulfFullShirel,ModelWaterEngulfFullShirelKg,VposShirelDroneMorphs,VantShirelDroneMorphs,VtotShirelDroneMorphs,MassSKR,EnCost,EnCostkJ,EnCostMS,PreyBiomassTop50,PreyEnDensity,EnPerCubeMeter,EnPerKgWater,EnPerLunge,EnPerLungeMS,EnPerLungeShirel,EnRatio,EnRatioShirel,EnPerVpos,EnPerVant,DiveStartPos,DiveEndPos,NumOfLungesInDive,EnCostkJPerDive,EnPerDive,EnRatioDive,EnCostkJPerDay,EnPerDay,EnRatioDay,EngulfDistanceTravelled,DistancePerVGBLength,EngulfmentDrag,ShapeDragMinusThrust,Vmin,Deceleration,E2E,R2BH,JawAreaDirectMeasure,JawAreaTriangleApprox,ShirelFilterTimeApprox,LengthLunge,LengthLungePlusFilter,ROBMetabolic
419749,19:46:54,183.5443843,103,419685,419699,419749,419752,419758,419782,419751,419761,419771,6.4,5,0.3,0.6,2,4.4,3.188953933,2.993248472,-10.92727334,4.455309506,47.15503502,4.417097395,28.64811252,3.699776357,20.13797025,2.381213932,1.462061034,58.08230836,0.717321038,-8.51014227,0.292412207,-1.195535064,-4.088526526,0.215196311,0.283500182,6.603689259,bb190304-18,Minke,Antarctic,1.17,0.955086055,0.763449582,1.718535636,1761.499027,2.995247147,0.982503358,0.713771187,1.728879573,1772.101562,1.31895929,1.340940821,2.659900111,4495.047085,476137.5264,476.1375264,105.9249252,0.212684817,4575,973.0330394,0.973033039,1439.757271,320.2985962,1448.423229,3.023826503,3.042027039,639.6038952,800.1533768,418343,421305,8,4705.814046,11518.05817,2.447622888,860201.2358,1737787.026,2.020209869,2.467505,0.823806811,10861.92075,-5487.934354,1.892332684,1.195535063,0.96,1.51,0.839013606,0.762051456,5.962358234,5.9,11.86235823,3601.260382
425084,19:55:47,128.218445,103,424989,425017,425085,425089,425095,425115,425083,425096,425107,9.6,6.8,0.4,0.6,2.4,6.2,2.249684821,2.065643923,60.49626161,4.872934126,23.9661174,4.668806506,16.00629602,3.805061079,30.89698194,2.259985593,2.807290203,-36.5301442,0.863745427,14.89068591,0.412836795,-1.439575711,-3.487033448,0.259123628,0.331846087,6.603689259,bb190304-18,Minke,Antarctic,1.17,0.955086055,0.797745765,1.75283182,1796.652615,2.995247147,0.982503358,0.713771187,1.728879573,1772.101562,1.31895929,1.340940821,2.659900111,4495.047085,635309.9617,635.3099617,141.3355521,0.212684817,4575,973.0330394,0.973033039,1468.489977,326.6906774,1448.423229,2.311454354,2.279868594,668.336601,800.1533768,423346,425856,7,5154.457271,10279.42985,1.994279767,1044063.595,1772467.403,1.6976623,2.571695,0.85859192,11393.9549,-4922.99429,2.076507896,1.439575712,0.96,1.51,0.839013606,0.762051456,5.962358234,7.8,13.76235823,3601.260382
111605,11:13:19,133.5977401,103,111478,111480,111607,111615,111622,111627,111603,111612,111622,12.9,12.7,0.8,0.7,1.9,12,2.426697027,2.467289085,-14.24256023,3.915820139,33.53647431,3.479261274,77.07941686,2.595191899,72.28797022,2.360954313,1.448531055,47.77903453,0.884069375,-4.791446638,0.114057563,-1.26295625,-11.07297239,0.309424281,0.358502303,6.603689259,bb190304-18,Minke,Antarctic,1.17,0.955086055,0.822427153,1.777513207,1821.951038,2.995247147,0.982503358,0.713771187,1.728879573,1772.101562,1.31895929,1.340940821,2.659900111,4495.047085,372910.816,372.910816,82.96038039,0.212684817,4575,973.0330394,0.973033039,1489.167587,331.2907648,1448.423229,3.993361208,3.884100882,689.0142099,800.1533768,109134,112851,6,3269.225995,8935.005516,2.733064502,699528.8097,1797425.276,2.569479986,2.130935,0.711438788,6754.732249,-1077.684439,1.944959152,1.26295625,0.96,1.51,0.839013606,0.762051456,5.962358234,14.2,20.16235823,3601.260382
424945,19:55:34,156.18436,103,424889,424902,424945,424950,424957,424996,424946,424955,424965,5.6,4.3,0.5,0.7,1.9,3.6,2.959068617,2.952200343,-9.083072649,4.419309501,60.77378372,4.127988248,25.47983073,3.175811674,44.18827543,2.11385977,1.467109158,69.85685637,0.952176573,18.7084447,0.341188176,-1.360252248,-3.986809457,0.333261801,0.380647291,6.603689259,bb190304-18,Minke,Antarctic,1.17,0.955086055,0.982417731,1.937503786,1985.94138,2.995247147,0.982503358,0.713771187,1.728879573,1772.101562,1.31895929,1.340940821,2.659900111,4495.047085,383134.9713,383.1349713,85.23491835,0.212684817,4575,973.0330394,0.973033039,1623.204724,361.1096154,1448.423229,4.236639424,3.780451637,823.0513478,800.1533768,423346,425856,7,3447.21263,11362.43307,3.296121907,749685.8403,1959208.102,2.613372157,2.55611,0.853388677,9009.965455,-2895.56755,2.01848747,1.360252249,0.96,1.51,0.839013606,0.762051456,5.962358234,5.5,11.46235823,3601.260382
415741,19:40:13,183.9848007,103,415672,415686,415741,415745,415754,415777,415743,415753,415764,6.9,5.5,0.4,0.9,2.1,4.6,2.805832206,2.807747838,-36.15899968,4.472602792,16.93645189,4.334247222,4.666818698,2.970250242,20.42270107,2.093545222,1.664854953,53.09545158,1.36399698,15.75588237,0.302700901,-1.5155522,-5.006764753,0.613798641,0.704419854,6.603689259,bb190304-18,Minke,Antarctic,1.17,0.955086055,1.195393536,2.15047959,2204.24158,2.995247147,0.982503358,0.713771187,1.728879573,1772.101562,1.31895929,1.340940821,2.659900111,4495.047085,467373.825,467.373825,103.9752902,0.212684817,4575,973.0330394,0.973033039,1801.631902,400.8037887,1448.423229,3.854798462,3.099067924,1001.478526,800.1533768,413676,416925,6,3827.361025,10809.79141,2.824345899,845711.3991,2174569.706,2.571290523,3.309455,1.104902146,7274.610096,-462.1315972,2.130599306,1.5155522,0.96,1.51,0.839013606,0.762051456,5.962358234,6.8,12.76235823,3601.260382
204866,13:48:45,185.0535803,103,204771,204797,204866,204870,204878,204893,204866,204876,204889,9.5,6.9,0.4,0.8,2.3,6.1,2.806405919,2.596967869,-15.39087553,4.411691993,44.67478275,4.22424311,23.36880153,3.083862585,41.81737582,2.236795151,1.814724124,60.06565828,1.140380525,18.44857429,0.263003496,-1.425475656,-5.419987476,0.45615221,0.530551973,6.603689259,bb190304-18,Minke,Antarctic,1.17,0.955086055,0.880352597,1.835438652,1881.324618,2.995247147,0.982503358,0.713771187,1.728879573,1772.101562,1.31895929,1.340940821,2.659900111,4495.047085,470366.2916,470.3662916,104.6410155,0.212684817,4575,973.0330394,0.973033039,1537.696449,342.0868391,1448.423229,3.269146782,3.079351678,737.5430722,800.1533768,203446,207038,8,4823.141389,12301.57159,2.550530992,843672.5686,1855999.614,2.199905133,2.940625,0.981763726,7252.18325,-844.6030562,2.0663136,1.425475656,0.96,1.51,0.839013606,0.762051456,5.962358234,8.1,14.06235823,3601.260382
345942,17:43:53,190.5202186,103,345836,345866,345942,345953,345957,345965,345948,345955,345965,10.6,7.6,1.1,0.4,1.7,7.2,2.372247238,2.305720584,-43.17380364,4.662884003,-0.65508156,3.792038431,0.535895844,3.06426363,19.77887442,2.454034074,2.357163419,42.51872208,0.727774801,19.24297858,0.310153081,-1.819437003,-5.866254803,0.14555496,0.179727637,6.603689259,bb190304-18,Minke,Antarctic,1.17,0.955086055,0.461300655,1.41638671,1451.796377,2.995247147,0.982503358,0.713771187,1.728879573,1772.101562,1.31895929,1.340940821,2.659900111,4495.047085,370268.9963,370.2689963,82.37266246,0.212684817,4575,973.0330394,0.973033039,1186.622506,263.9844442,1448.423229,3.204757941,3.911813422,386.4691301,800.1533768,344441,347535,8,3814.210177,9492.980056,2.488845558,718508.4119,1432253.366,1.993370352,1.369035,0.457069127,11121.71709,-2943.262096,2.334451433,1.819437003,0.96,1.51,0.839013606,0.762051456,5.962358234,9.1,15.06235823,3601.260382
106598,11:04:58,124.3844472,103,106522,106549,106598,106600,106606,106615,106592,106602,106611,7.6,4.9,0.2,0.6,1.9,4.3,2.094572364,2.160146634,-20.70271295,3.61685289,-50.08916212,3.613574686,-49.35795432,2.994561128,-35.63048632,2.170298285,1.456706257,-29.38644917,0.619013558,13.72746801,0.297286991,-1.031689264,-3.470347826,0.185704067,0.253335456,6.603689259,bb190304-18,Minke,Antarctic,1.17,0.955086055,0.6267855,1.581871555,1621.418343,2.995247147,0.982503358,0.713771187,1.728879573,1772.101562,1.31895929,1.340940821,2.659900111,4495.047085,309430.6218,309.4306218,68.83812693,0.212684817,4575,973.0330394,0.973033039,1325.262639,294.8273097,1448.423229,4.282907203,4.680930481,525.1092629,800.1533768,104564,107546,8,3385.123347,10602.10111,3.13196892,659855.3462,1599592.005,2.424155558,2.01913,0.674111317,8092.393904,-3454.902088,1.757886322,1.031689263,0.96,1.51,0.839013606,0.762051456,5.962358234,5.7,11.66235823,3601.260382
180256,13:07:44,155.1127342,103,180170,180191,180256,180263,180268,180290,180255,180263,180271,8.6,6.5,0.7,0.5,1.6,6,1.995121039,1.863646739,-15.59589354,4.112497511,-2.242018268,3.766539355,6.687275856,2.939567987,14.13598401,2.10456493,2.248850771,13.35387527,0.826971368,7.448708152,0.345977042,-1.653942736,-4.78049852,0.206742842,0.256580168,6.603689259,bb190304-18,Minke,Antarctic,1.17,0.955086055,0.732846777,1.687932831,1730.131152,2.995247147,0.982503358,0.713771187,1.728879573,1772.101562,1.31895929,1.340940821,2.659900111,4495.047085,376291.6543,376.2916543,83.71250561,0.212684817,4575,973.0330394,0.973033039,1414.118809,314.5948824,1448.423229,3.758039257,3.849203704,613.965433,800.1533768,178634,181469,7,3460.890964,9898.831663,2.860197494,731863.1699,1706841.402,2.332186497,1.685025,0.562566265,10171.6763,-2737.125821,2.225750943,1.653942736,0.96,1.51,0.839013606,0.762051456,5.962358234,7.7,13.66235823,3601.260382
365811,18:17:00,195.8996561,103,365739,365740,365811,365815,365821,365859,365811,365819,365833,7.2,7.1,0.4,0.6,2.2,6.5,2.400724135,2.413541961,-41.12995252,4.372630672,60.77832312,4.166082481,21.0622164,3.113882342,42.47996163,2.235840438,1.959088711,101.9082756,1.052200139,21.41774523,0.275927987,-1.753666898,-6.355523825,0.315660042,0.374279767,6.603689259,bb190304-18,Minke,Antarctic,1.17,0.955086055,0.685723978,1.640810032,1681.830283,2.995247147,0.982503358,0.713771187,1.728879573,1772.101562,1.31895929,1.340940821,2.659900111,4495.047085,456723.4358,456.7234358,101.6059292,0.212684817,4575,973.0330394,0.973033039,1374.640202,305.812192,1448.423229,3.009786874,3.171335464,574.4868262,800.1533768,363377,367574,8,4931.874796,10997.12162,2.229805516,827205.6416,1659190.725,2.005777816,2.18999,0.731155024,8728.369367,-845.554088,2.291869493,1.753666898,0.96,1.51,0.839013606,0.762051456,5.962358234,8.1,14.06235823,3601.260382
